pnames,pval
k_gri,0.0813432647169859
k_min,0.00835187973612034
k_max,0.118496255411909
b,0.956083053854384
d,0.0145549662227059
k_abs,0.0320058253063086
ProteinBreakdown,0.000550025647858024
aaTransportation_k,0.0199637527495555
f,0.860620745990758
k_1,0.0627932103519728
U_ii,0.683242071856324
m_2,0.932765133006966
m_4,0.07200950005683
K,498.090341217432
S_b1,0.239190936898486
S_b2,0.102579619351895
S_b3,0.00895254900391456
S_b4,0.00867818190055756
gamma,356.645922896141
K_m0,241.752261701412
V_m0,2.87210805709679
V_mX,0.113718552376026
K_f0,359.559314352934
V_f0,0.0407024798742581
V_fX,0.141811033365981
GLUT2_diffusionMax,3.59988376602877
GLUT2_diffusion0,7.1497693428901
Uidl_diffusionMax,0.427081186666451
Uidl_diffusion0,0.805368689617442
EGP_KidneysK,0.678382538640055
k_2,0.248869117012667
It_delay_k,0.291296124723368
G_b1,48.5783894330663
G_b2,28.8052481653674
G_b3,51.6751349867522
G_b4,88.0507570339207
V_glyBmax,4.06391255596323
GlyB,77.1809595515187
V_glySmax,4.96875941999236
GlyS,0.846139072992268
CrebUsage_K,1.15740156693884
Gluconeogenesis_CrebK,1.46631807799123
PyruvateTranslocase_K,0.00970742588419242
PyruvateOxi_k,0.0402711436961758
Aminoprofile_k,0.615963279464967
Glycolysis_k,0.106168344745566
GlycolysisEXP,0.0581815880786605
InsDepEXP,1.22317931630425
m_1,0.21814236847387
m_5,0.0954628896600015
m_6,0.28711857020851
alpha,4.10639365305123
beta,0.0799826475263262
InsulinLiverResponseK,0.118208436307799
DifferentInsulinTolerance_1,0.842940007996646
DifferentInsulinTolerance_2,1.15084717262867
DifferentInsulinTolerance_3,0.505901777544771
DifferentInsulinTolerance_4,1.6744627815665
DifferentInsulinResponse_1,1.07467073450343
DifferentInsulinResponse_2,0.725949223947504
DifferentInsulinResponse_3,0.480356983566431
DifferentInsulinResponse_4,1.2856609767362
DifferentInsulinDegradation_1,0.499422561113247
DifferentInsulinDegradation_2,1.51878752232456
DifferentInsulinDegradation_3,0.719952999760465
DifferentInsulinDegradation_4,0.525637554728997
GlyDep_Meal,462.942034158759
GlyDep_TCA,290.507584071597
GlyDep_Glugoneogenesis,836.555730114839
GlyDep_KidneysEGP,60.483712041179
GlyDepEXP_Meal,0.963175242774663
GlyDepEXP_TCA,0.678364245200862
GlyDepEXP_Glugoneogenesis,1.00795590970817
GlyDepEXP_KidneysEGP,0.0666284641907556

BloodVolumeUncertainty,1.0083787514813
BloodLiverUncerteinty,0.7
meal_length1,5
meal_start1,7.92791959203981
carb_amount1,250
protein_amount1,129.795694337887

BloodVolumeUncertainty2,0
BloodLiverUncerteinty2,0
meal_length1_2,1
meal_start1_2,0
carb_amount1_2,0
protein_amount1_2,0

BloodVolumeUncertainty3,0
BloodLiverUncerteinty3,0
meal_length1_3,1
meal_start1_3,0
carb_amount1_3,0
protein_amount1_3,0

BloodVolumeUncertainty4,0
BloodLiverUncerteinty4,0
meal_length1_4,1
meal_start1_4,0
carb_amount1_4,0
protein_amount1_4,0

meal_solid1,1
meal_liquid1,0
meal_boolean1,0
female_boolean,1
male_boolean,0
Height,178
BW_start,84

CountMeal1_1,1
CountMeal1_2,0
CountMeal1_3,0
CountMeal1_4,0

meal_length2,3
meal_start2,0
carb_amount2,2.6
protein_amount2,25.55

meal_solid2,1
meal_liquid2,0
meal_boolean2,0

D,2600
